Date,Price,Open,High,Low,Vol.,Change %
2/20/2023,447.78,446.97,450.21,446.97,45.31M,0.18%
2/17/2023,446.97,452.36,452.58,446.97,53.94M,-1.27%
2/16/2023,452.73,452.78,453.42,451.32,39.83M,-0.01%
2/15/2023,452.78,453.13,453.4,451.56,35.88M,-0.08%
2/14/2023,453.13,455.56,455.56,453.13,58.56M,-0.53%
2/13/2023,455.56,453.02,456.11,452.09,67.61M,0.56%
2/10/2023,453.02,452.97,453.84,451.93,28.49M,0.01%
2/9/2023,452.97,455.03,455.03,452.97,35.52M,-0.38%
2/8/2023,454.69,453.28,454.69,451.42,42.65M,0.39%
2/7/2023,452.91,455.69,455.69,451.92,48.50M,-0.61%
2/6/2023,455.69,457.14,457.14,454.89,43.89M,-0.32%
2/3/2023,457.14,452.33,457.14,451.48,58.09M,1.06%
2/2/2023,452.33,454.32,454.88,451.77,44.52M,-0.44%
2/1/2023,454.32,448.85,454.32,448.85,38.49M,1.22%
1/31/2023,448.85,448.98,454.67,448.68,68.80M,-0.03%
1/30/2023,448.98,445.02,451.19,444.66,63.43M,0.66%
1/27/2023,446.03,446.16,449,445.74,43.15M,-0.03%
1/26/2023,446.16,439.24,446.16,439.24,46.24M,1.58%
1/25/2023,439.24,440.73,441.35,439.15,21.24M,-0.34%
1/24/2023,440.73,439.31,441.91,438.66,50.82M,0.32%
1/23/2023,439.31,438.79,439.31,437.87,44.75M,0.12%
1/20/2023,438.79,437.16,440.25,437.16,39.03M,0.37%
1/19/2023,437.16,436.29,439,435.6,49.00M,0.20%
1/18/2023,436.29,436.07,437.27,435.83,137.73M,0.05%
1/17/2023,436.07,434.55,436.97,433.24,113.60M,0.19%
1/16/2023,435.23,450.51,450.51,435.23,80.94M,-3.39%
1/13/2023,450.51,443.84,452.87,443.84,79.03M,1.50%
1/12/2023,443.84,434.49,443.84,432.94,42.47M,2.15%
1/11/2023,434.49,429.29,434.49,429.29,36.39M,1.05%
1/10/2023,429.96,429.65,430.65,429.3,76.76M,0.07%
1/9/2023,429.65,434.72,440.75,429.59,131.70M,-1.31%
1/6/2023,435.34,434.34,437.54,433.89,52.20M,0.23%
1/5/2023,434.34,430.54,434.34,429.87,55.42M,0.88%
1/4/2023,430.54,428.34,434.35,427.67,59.08M,0.51%
1/3/2023,428.34,420.16,428.34,416.48,32.38M,2.60%
12/30/2022,417.5,429.8,429.8,417.5,240.46M,-2.86%
12/29/2022,429.8,428.64,433.13,423.61,62.79M,0.27%
12/28/2022,428.64,423.18,428.64,420.82,48.57M,1.38%
12/23/2022,422.8,416.73,422.8,416.73,19.69M,1.46%
12/22/2022,416.73,417.07,417.4,415.34,39.23M,-0.11%
12/21/2022,417.2,416.28,418.01,416.28,28.62M,0.22%
12/20/2022,416.28,415.14,417.38,413.39,23.97M,0.27%
12/19/2022,415.14,414.63,417.19,414.63,19.06M,0.12%
12/16/2022,414.63,410.16,417.75,407.97,43.41M,1.09%
12/15/2022,410.16,407.23,410.16,406.23,176.50M,0.72%
12/14/2022,407.23,407.51,410.53,406.78,29.61M,-0.07%
12/13/2022,407.51,404.93,407.6,404.23,64.95M,0.64%
12/12/2022,404.93,403.05,405.26,400.16,164.37M,0.47%
12/9/2022,403.05,400.12,403.05,400.12,42.08M,0.73%
12/8/2022,400.12,398.29,400.12,398.29,54.60M,0.46%
12/7/2022,398.29,398.97,400.19,398.21,32.14M,-0.17%
12/6/2022,398.97,398.84,401.01,398.84,18.43M,0.03%
12/5/2022,398.84,404.04,404.07,398.26,35.36M,-1.29%
12/2/2022,404.04,405.28,405.28,402.66,22.29M,-0.31%
12/1/2022,405.28,396.71,405.4,396.71,51.21M,2.16%
11/30/2022,396.71,390.52,396.71,390.45,38.44M,1.79%
11/29/2022,389.75,398.27,398.4,389.75,34.99M,-2.14%
11/28/2022,398.27,399.15,399.15,397.19,117.20M,-0.22%
11/25/2022,399.15,398.16,400.15,397.15,30.60M,0.25%
11/24/2022,398.16,403.68,404.86,394.73,66.47M,-1.37%
11/23/2022,403.68,396.47,403.78,395.51,60.02M,1.82%
11/22/2022,396.47,392.14,399.52,391.88,43.04M,1.10%
11/21/2022,392.14,387.31,392.17,387.31,40.65M,1.25%
11/18/2022,387.31,385.45,388.55,382.99,34.67M,0.48%
11/17/2022,385.45,389.17,389.57,385.45,30.77M,-0.96%
11/16/2022,389.17,373.46,389.17,373.31,65.70M,4.21%
11/15/2022,373.46,372.57,373.83,371.63,33.63M,0.24%
11/14/2022,372.57,371.61,373.58,370.92,126.94M,0.26%
11/11/2022,371.61,372.39,373.48,370.66,116.11M,-0.19%
11/10/2022,372.32,372.3,372.7,371.57,292.07M,0.01%
11/9/2022,372.3,372.15,373.18,370.77,41.44M,0.04%
11/8/2022,372.15,372.77,373.09,370.98,162.14M,-0.17%
